State	$	import	.	;	id	comma	=	static	(	)	void	...	{	}	struct	union	typedef	[	]	INTEGER	*	-=	signed	unsigned	char	if	else	while	do	for	break	goto	continue	return	:	case	defult	switch	?	||	&&	==	!=	<	>	<=	>=	<<	>>	+	-	/	%	++	--	SIZEOF	!	~	&	->	CHARACTOR	STRING	FLOAT	+=	*=	/=	%=	const	bool	float	double	long	short	int	extern	programe	import_staments	import_stament	NAME	name	top_decls	top_decl	defvars	other_vars	other_var	initial_expr	storage	defun	params	fixed_params	param	kwargs	block	block_componets	defstruct	defunion	member_list	slots	TYPEDEF	type	type_postfix	param_typerefs	fixed_param_ref	opassign_op	primary_type	stmts	stmt	if_stmt	while_stmt	dowhile_stmt	for_stmt	optional_for_expr	break_stmt	goto_stmt	continue_stmt	return_stmt	label_stmt	switch_stmt	label_stmts	expr	conditional_expr	logical_or_expr	logical_and_expr	equality_expr	relational_expr	shift_expr	additive_expr	multiplicative_expr	term	unary_expr	unary_operator	postfix_expr	primary_expr	CONSTANT	defconst	args	int_type	block_componet	forIniitialer	optional_for_exprs	expr_list	typeName	fun_decl	param_decl	var_decl	other_var_decls	other_var_decl	
15	r9				r9			r9			r9				r9	r9	r9						r9	r9	r9																																											r9	r9	r9	r9	r9	r9	r9	r9																																																																									
16					r20			s11			r20				r20	r20							r20	r20	r20																																												r20	r20	r20	r20	r20	r20													43																																																								44		42			
17	r13				r13			r13			r13				r13	r13	r13						r13	r13	r13																																											r13	r13	r13	r13	r13	r13	r13	r13																																																																									
18					s8																																																																											45																																																																				
19	r7				r7			r7			r7				r7	r7	r7						r7	r7	r7																																											r7	r7	r7	r7	r7	r7	r7	r7																																																																									
20					s35						s32				s40	s33							s41	s39	s27																																												s25	s29	s28	s37	s34	s31																										46					30																																26					38						
21					s35						s32				s40	s33							s41	s39	s27																																												s25	s29	s28	s37	s34	s31																										47					30																																26					38						
22					s8																																																																											48																																																																				
23	r5	r5			r5			r5			r5				r5	r5	r5						r5	r5	r5																																											r5	r5	r5	r5	r5	r5	r5	r5																																																																									
24					s8																																																																										49	6																																																																				
25					r153	r153			r153	r153								r153			r153																																																																																																																															
26					r154	r154			r154	r154								r154			r154																																																																																																																															
27					r53	r53			r53	r53								r53			r53																																																																																																																															
28					r156	r156			r156	r156								r156			r156																																																																																																																															
29					r155	r155			r155	r155								r155			r155																																																																																																																															
30					r41	r41			r41	r41								r41			r41																																																																																50																																															
31					r160	r160			r160	r160								r160			r160																																																																																																																															
32					r54	r54			r54	r54								r54			r54																																																																																																																															
33					s51																																																																																																																																															
34					r159	r159			r159	r159								r159			r159																																																																																																																															
35				r171	r171	r171			r171	r171								r171			r171																																																																																																																															
36					s8																																																																											52																																																																				
37					r157	r157			r157	r157								r157			r157																																																			s53																																																																												
38					r172	r172			r172	r172								r172			r172																																																																																																																															
39																																																																								s37	s34	s31																																																															54											
40					s55																																																																																																																																															
41																																																																								s37	s34	s31																																																															56											
42	r174				r174			r174			r174				r174	r174	r174						r174	r174	r174																																											r174	r174	r174	r174	r174	r174	r174	r174																																																																									
43					s35						s32				s40	s33							s41	s39	s27																																												s25	s29	s28	s37	s34	s31																										57					30																																26					38						
44	r173				r173			r173			r173				r173	r173	r173						r173	r173	r173																																											r173	r173	r173	r173	r173	r173	r173	r173																																																																									
45													s58																																																																																				59																																																			
46					s35																																																																																																																																									60						
47					s61																																																																																																																																															
48													s58																																																																																				62																																																			
49	r4	r4			r4			r4			r4				r4	r4	r4						r4	r4	r4																																											r4	r4	r4	r4	r4	r4	r4	r4																																																																									
50					r40	r40			s64	r40								s65			s63																																																																																																																															
51					r56	r56			r56	r56								r56			r56																																																																																																																															
52				r18		r18	s68		s66																																																																													67																																																														
53					r158	r158			r158	r158								r158			r158																																																																																																																															
54					r52	r52			r52	r52								r52			r52																																																																																																																															
55					r55	r55			r55	r55								r55			r55																																																																																																																															
56					r51	r51			r51	r51								r51			r51																																																																																																																															
57					s8																																																																											69																																																																				
58					r36						r36			r36	r36	r36							r36	r36	r36																																												r36	r36	r36	r36	r36	r36																								70																																																		
59				s71																																																																																																																																																
60				s72																																																																																																																																																
61							s73																																																																																																																																													
62				s74																																																																																																																																																
63					r44	r44			r44	r44								r44			r44																																																																																																																															
64					s35						s76				s40	s33							s41	s39	s27																																												s25	s29	s28	s37	s34	s31																										78		77	75		30																																26					38						
65																			s79	s80																																																																																																																																
66					s35						s82				s40	s33							s41	s39	s27																																												s25	s29	s28	s37	s34	s31															85	83	81									84					30																																26					38						
67				r15		r15																																																																														86																																																																
68					s113				s94				s89							s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																									101	110	92	102	90	91	97	88	95	93	99	108	111	115	114														
69				r179		r179			s118																																																																																																																																									119		
70					s35						s32			s121	s40	s33							s41	s39	s27																																												s25	s29	s28	s37	s34	s31																										120					30																																26					38						
71	r34				r34			r34			r34				r34	r34	r34						r34	r34	r34																																											r34	r34	r34	r34	r34	r34	r34	r34																																																																									
72	r38				r38			r38			r38				r38	r38	r38						r38	r38	r38																																											r38	r38	r38	r38	r38	r38	r38	r38																																																																									
73					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																									122	110	92	102	90	91	97	88	95	93	99	108	111	115	114														
74	r33				r33			r33			r33				r33	r33	r33						r33	r33	r33																																											r33	r33	r33	r33	r33	r33	r33	r33																																																																									
75						s124				r28																																																																																		123																																																								
76						r54			r54	s125								r54			r54																																																																																																																															
77										s126																																																																																																																																										
78						r49				r49																																																																																																																																										
79					r42	r42			r42	r42								r42			r42																																																																																																																															
80																			s127																																																																																																																																	
81						r26				r26																																																																																																																																										
82					r54				r54	r24								r54			r54																																																																																																																															
83						s129				r28																																																																																		128																																																								
84					s8																																																																											130																																																																				
85										s131																																																																																																																																										
86				s132		s133																																																																															134																																																															
87					s113				s136											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																																			135	108	111	115	114														
88				r107		r107				r107				r107					r107																r107				r107	r107	r107	r107	r107	r107	r107	r107	r107	r107	r107	s138	s137																																																																																																	
89					s113	r168			s94					r168						s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																									140	110	92	102	90	91	97	88	95	93	99	108	111	115	114							139							
90				r97		r97				r97				r97					r97																r97				r97	r97	r97	s142	s141																																																																																																									
91				r99		r99				r99				r99					r99																r99				r99	r99	r99	r99	r99	s143	s146	s145	s144																																																																																																					
92				r93		r93				r93				r93					r93																r93				s147	s148																																																																																																												
93				r113		r113	s152			r113				r113					r113		r113	s155													r113				r113	r113	r113	r113	r113	r113	r113	r113	r113	r113	r113	r113	r113	r113	r113											s151	s153	s154	s149																																					150																																												
94					s158				s94		s32				s40	s33				s116	s106		s41	s39	s27																									s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96						s25	s29	s28	s37	s34	s31																										156					30															157	110	92	102	90	91	97	88	95	93	99	108	111	115	114			26					38						
95				r110		r110				r110				r110					r110		s159														r110				r110	r110	r110	r110	r110	r110	r110	r110	r110	r110	r110	r110	r110	s161	s160																																																																																															
96			r145	r145		r145	r145		r145	r145				r145				r145	r145		r145	r145													r145				r145	r145	r145	r145	r145	r145	r145	r145	r145	r145	r145	r145	r145	r145	r145	r145	r145					r145				r145	r145	r145	r145																																																																																	
97				r102		r102				r102				r102					r102																r102				r102	r102	r102	r102	r102	r102	r102	r102	r102	s162	s163																																																																																																			
98					r130				r130											r130	r130																													r130	r130			r130	r130	r130	r130	r130	r130		r130	r130	r130																																																																																					
99				r117		r117	r117			r117				r117					r117		r117	r117													r117				r117	r117	r117	r117	r117	r117	r117	r117	r117	r117	r117	r117	r117	r117	r117											r117	r117	r117	r117																																																																																	
100					s113				s165											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																																			164	108	111	115	114														
101				r19		r19																																																																																																																																														
102				r95		r95				r95				r95					r95																r95				r95	r95	s166																																																																																																											
103					r126				r126											r126	r126																													r126	r126			r126	r126	r126	r126	r126	r126		r126	r126	r126																																																																																					
104					r128				r128											r128	r128																													r128	r128			r128	r128	r128	r128	r128	r128		r128	r128	r128																																																																																					
105					s113				s136											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																																			167	108	111	115	114														
106					r129				r129											r129	r129																													r129	r129			r129	r129	r129	r129	r129	r129		r129	r129	r129																																																																																					
107					r127				r127											r127	r127																													r127	r127			r127	r127	r127	r127	r127	r127		r127	r127	r127																																																																																					
108					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																																		168	99	108	111	115	114														
109			r143	r143		r143	r143		r143	r143				r143				r143	r143		r143	r143													r143				r143	r143	r143	r143	r143	r143	r143	r143	r143	r143	r143	r143	r143	r143	r143	r143	r143					r143				r143	r143	r143	r143																																																																																	
110				r92		r92				r92				r92					r92																r92																																																																																																																	
111			s173	r119		r119	r119		s171	r119				r119				s172	r119		r119	r119													r119				r119	r119	r119	r119	r119	r119	r119	r119	r119	r119	r119	r119	r119	r119	r119	s169	s174					s170				r119	r119	r119	r119																																																																																	
112			r144	r144		r144	r144		r144	r144				r144				r144	r144		r144	r144													r144				r144	r144	r144	r144	r144	r144	r144	r144	r144	r144	r144	r144	r144	r144	r144	r144	r144					r144				r144	r144	r144	r144																																																																																	
113			r139	r139		r139	r139		r139	r139				r139				r139	r139		r139	r139													r139				r139	r139	r139	r139	r139	r139	r139	r139	r139	r139	r139	r139	r139	r139	r139	r139	r139					r139				r139	r139	r139	r139																																																																																	
114			r140	r140		r140	r140		r140	r140				r140				r140	r140		r140	r140													r140				r140	r140	r140	r140	r140	r140	r140	r140	r140	r140	r140	r140	r140	r140	r140	r140	r140					r140				r140	r140	r140	r140																																																																																	
115			r131	r131		r131	r131		r131	r131				r131				r131	r131		r131	r131													r131				r131	r131	r131	r131	r131	r131	r131	r131	r131	r131	r131	r131	r131	r131	r131	r131	r131					r131				r131	r131	r131	r131																																																																																	
116			r142	r142		r142	r142		r142	r142				r142				r142	r142		r142	r142													r142				r142	r142	r142	r142	r142	r142	r142	r142	r142	r142	r142	r142	r142	r142	r142	r142	r142					r142				r142	r142	r142	r142																																																																																	
117					r125				r125											r125	r125																													r125	r125			r125	r125	r125	r125	r125	r125		r125	r125	r125																																																																																					
118					s35						s32				s40	s33							s41	s39	s27																																												s25	s29	s28	s37	s34	s31																177	81									178		176	75		30																																26					38		175				
119				s179		s180																																																																																																																																													181	
120					s8																																																																											182																																																																				
121				r35																																																																																																																																																
122				s183																																																																																																																																																
123										r47																																																																																																																																										
124					s35						s32	s185			s40	s33							s41	s39	s27																																												s25	s29	s28	s37	s34	s31																										184					30																																26					38						
125					r46	r46			r46	r46								r46			r46																																																																																																																															
126					r45	r45			r45	r45								r45			r45																																																																																																																															
127					r43	r43			r43	r43								r43			r43																																																																																																																															
128										r23																																																																																																																																										
129					s35						s32	s185			s40	s33							s41	s39	s27																																												s25	s29	s28	s37	s34	s31																	186									84					30																																26					38						
130						r27				r27																																																																																																																																										
131													s187																																																																																188																																																							
132	r14			r14	r14			r14	r14		r14		r14	r14	r14	r14	r14			r14	r14		r14	r14	r14	r14		r14	r14	r14	r14	r14	r14	r14		r14	r14	r14												r14	r14			r14	r14	r14	r14	r14	r14		r14	r14	r14					r14	r14	r14	r14	r14	r14	r14	r14																																																																									
133					s8																																																																											189																																																																				
134				r16		r16																																																																																																																																														
135				r120		r120	r120			r120				r120					r120		r120	r120													r120				r120	r120	r120	r120	r120	r120	r120	r120	r120	r120	r120	r120	r120	r120	r120											r120	r120	r120	r120																																																																																	
136					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																									157	110	92	102	90	91	97	88	95	93	99	108	111	115	114														
137					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																																	191	190	99	108	111	115	114														
138					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																																	192	190	99	108	111	115	114														
139						s193								s194																																																																																																																																						
140						r169								r169																																																																																																																																						
141					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																														195	97	88	95	190	99	108	111	115	114														
142					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																														196	97	88	95	190	99	108	111	115	114														
143					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																															197	88	95	190	99	108	111	115	114														
144					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																															198	88	95	190	99	108	111	115	114														
145					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																															199	88	95	190	99	108	111	115	114														
146					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																															200	88	95	190	99	108	111	115	114														
147					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																									201	110	92	102	90	91	97	88	95	93	99	108	111	115	114														
148					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																												202	90	91	97	88	95	190	99	108	111	115	114														
149					r149				r149											r149	r149																													r149	r149			r149	r149	r149	r149	r149	r149		r149	r149	r149																																																																																					
150					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																									203	110	92	102	90	91	97	88	95	93	99	108	111	115	114														
151					r146				r146											r146	r146																													r146	r146			r146	r146	r146	r146	r146	r146		r146	r146	r146																																																																																					
152					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																									204	110	92	102	90	91	97	88	95	93	99	108	111	115	114														
153					r147				r147											r147	r147																													r147	r147			r147	r147	r147	r147	r147	r147		r147	r147	r147																																																																																					
154					r148				r148											r148	r148																													r148	r148			r148	r148	r148	r148	r148	r148		r148	r148	r148																																																																																					
155					r50				r50											r50	r50																													r50	r50			r50	r50	r50	r50	r50	r50		r50	r50	r50																																																																																					
156										s205																																																																																																																																										
157										s206																																																																																																																																										
158			r139				r139		r171	r171								r171			r171	r139																	r139	r139	r139	r139	r139	r139	r139	r139	r139	r139	r139	r139	r139	r139	r139	r139	r139					r139				r139	r139	r139	r139																																																																																	
159					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																																		207	99	108	111	115	114														
160					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																																		208	99	108	111	115	114														
161					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																																		209	99	108	111	115	114														
162					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																																210	95	190	99	108	111	115	114														
163					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																																211	95	190	99	108	111	115	114														
164				r123		r123	r123			r123				r123					r123		r123	r123													r123				r123	r123	r123	r123	r123	r123	r123	r123	r123	r123	r123	r123	r123	r123	r123											r123	r123	r123	r123																																																																																	
165					s158				s94		s32				s40	s33				s116	s106		s41	s39	s27																									s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96						s25	s29	s28	s37	s34	s31																										212					30															157	110	92	102	90	91	97	88	95	93	99	108	111	115	114			26					38						
166					s113				s94											s116	s106																													s117	s103			s87	s105	s100	s107	s104	s98		s109	s112	s96																																																													213	91	97	88	95	190	99	108	111	115	114														
167				r121		r121	r121			r121				r121					r121		r121	r121													r121				r121	r121	r121	r121	r121	r121	r121	r121	r121	r121	r121	r121	r121	r121	r121											r121	r121	r121	r121																																																																																	
